티어,분류,명칭,비고
Tier A,기관,국립현대미술관,
Tier A,기관,서울시립미술관,
Tier A,기관,부산시립미술관,
Tier A,기관,대구미술관,
Tier A,기관,광주시립미술관,
Tier A,기관,리움미술관,
Tier A,기관,아모레퍼시픽미술관,
Tier A,기관,국립아시아문화전당,
Tier A,기관,아트선재센터,
Tier A,기관,일민미술관,
Tier A,기관,아뜰리에 에르메스,
Tier A,기관,송은,
Tier A,기관,부산현대미술관,
Tier A,갤러리,국제갤러리,
Tier A,갤러리,아라리오갤러리,
Tier A,갤러리,PKM갤러리,
Tier A,갤러리,갤러리바톤,
Tier A,갤러리,학고재,
Tier A,갤러리,가나아트,
Tier A,갤러리,갤러리현대,
Tier A,갤러리,조현화랑,
Tier A,갤러리,우손갤러리,
Tier A,갤러리,제이슨함,
Tier A,갤러리,더페이지갤러리,
Tier A,갤러리,페이스갤러리 서울,
Tier A,갤러리,화이트 큐브 서울,
Tier A,갤러리,타데우스 로팍 서울,
Tier A,갤러리,리만머핀 서울,
Tier A,갤러리,글래드스톤 갤러리 서울,
Tier A,갤러리,화이트스톤 갤러리 서울,
Tier A,갤러리,갤러리 페로탕 서울,
Tier A,갤러리,에스더 쉬퍼 서울,
Tier A,갤러리,탕 컨템포러리,
Tier A,갤러리,두아르트 스퀘이라,
Tier A,갤러리,마시모 드 카를로,
Tier A,갤러리,가고시안,
Tier A,갤러리,스프루스 마거스,
Tier A,갤러리,페레스 프로젝트,
Tier A,갤러리,마이어 리거,
Tier B,기관(비영리),경기도미술관,
Tier B,기관(비영리),토탈미술관,
Tier B,기관(비영리),성곡미술관,
Tier B,기관(비영리),코리아나미술관,
Tier B,기관(비영리),사비나미술관,
Tier B,기관(비영리),금호미술관,
Tier B,기관(비영리),디뮤지엄,
Tier B,기관(비영리),대림미술관,
Tier B,기관(비영리),OCI미술관,
Tier B,기관(비영리),두산갤러리,
Tier B,기관(비영리),플랫폼 L,
Tier B,갤러리,선화랑,
Tier B,갤러리,박여숙화랑,
Tier B,갤러리,이화익갤러리,
Tier B,갤러리,표갤러리,
Tier B,갤러리,초이앤초이 갤러리,
Tier B,갤러리,이유진갤러리,
Tier C,하이-엔드 라이징/이머징,휘슬,
Tier C,하이-엔드 라이징/이머징,실린더,
Tier C,하이-엔드 라이징/이머징,갤러리 기체,
Tier C,하이-엔드 라이징/이머징,파운드리 서울,
Tier C,하이-엔드 라이징/이머징,WWNN,
Tier C,하이-엔드 라이징/이머징,에브리데이몬데이,
Tier C,하이-엔드 라이징/이머징,원앤제이 갤러리,
Tier C,하이-엔드 라이징/이머징,갤러리2,
Tier C,하이-엔드 라이징/이머징,스페이스 윌링앤딜링,
Tier C,하이-엔드 라이징/이머징,팩토리2,
Tier C,하이-엔드 라이징/이머징,갤러리 ERD,
Tier C,하이-엔드 라이징/이머징,디스위켄드룸,
Tier C,하이-엔드 라이징/이머징,김리아갤러리,
Tier C,하이-엔드 라이징/이머징,에이라운지,
Tier C,하이-엔드 라이징/이머징,지갤러리,
Tier C,하이-엔드 라이징/이머징,P21,
Tier C,하이-엔드 라이징/이머징,갤러리 플래닛,
Tier C,하이-엔드 라이징/이머징,바라캇 컨템포러리,
Tier C,하이-엔드 라이징/이머징,백아트,
Tier C,하이-엔드 라이징/이머징,BHAK(비에이치에이케이),
Tier C,하이-엔드 라이징/이머징,아트소향,
Tier C,하이-엔드 라이징/이머징,아트사이드 갤러리,
Tier C,하이-엔드 라이징/이머징,야리 라거,
Tier C,하이-엔드 라이징/이머징,레이지 마이크,
Tier D,지역·영세 갤러리,갤러리 BK,
Tier D,지역·영세 갤러리,나머지 한국화랑협회 회원 갤러리,
Tier D,지역·영세 갤러리,지역 중소 갤러리,
Tier E,문화센터·대안공간·미분류,문화센터,
Tier E,문화센터·대안공간·미분류,대안공간,
Tier E,문화센터·대안공간·미분류,대학 갤러리,
Tier E,문화센터·대안공간·미분류,대관 공간,
Tier E,문화센터·대안공간·미분류,리스트 미등재 전체,
Tier D,기타,아트스푼,플랫폼 · 플랫폼
Tier B,갤러리,갤러리 그림손,nan
Tier B,갤러리,써포먼트 갤러리,nan
Tier B,갤러리,금산갤러리,nan
Tier D,갤러리,더 트리니티 갤러리,nan
Tier D,갤러리,무우수갤러리,nan
Tier C,갤러리,오브제후드,nan
Tier D,갤러리,아트인동산,nan
Tier B,갤러리,갤러리밈,nan
Tier C,갤러리,갤러리 플레이리스트,nan
Tier B,갤러리,갤러리 가이아,nan
Tier D,갤러리,쿤스 갤러리,nan
Tier D,기타,아트니스,플랫폼 · 플랫폼
Tier C,갤러리,띠오,nan
Tier D,기타,제뉴인글로벌컴퍼니,전시기획사 · nan
Tier B,갤러리,린파인아트 갤러리,nan
Tier D,기타,아이딜아트,플랫폼 · 플랫폼
Tier B,갤러리,스페이스776,nan
Tier C,갤러리,씨디에이,nan
Tier B,갤러리,도잉아트,nan
Tier B,갤러리,갤러리위,nan
Tier C,갤러리,컴바인웍스 갤러리,nan
Tier C,갤러리,에이뷔오,nan
Tier B,갤러리,유아트스페이스,nan
Tier D,갤러리,갤러리 브루노 마사,nan
Tier D,갤러리,아트웍스 파리 서울 갤러리,nan
Tier C,갤러리,로이갤러리,nan
Tier D,갤러리,스페이스 소,nan
Tier C,갤러리,오에이오에이,nan
Tier D,갤러리,이촌화랑,현재 'ICG'로 명칭 변경
