ko_name,en_slug,en_name
이우환,lee-ufan,Lee Ufan
박서보,park-seo-bo,Park Seo-Bo
김창열,kim-tschang-yeul,Kim Tschang-Yeul
타카시 무라카미,takashi-murakami,Takashi Murakami
김종학,kim-chong-hak,Kim Chong Hak
야요이 쿠사마,yayoi-kusama,Yayoi Kusama
김환기,whanki-kim,Whanki Kim
백남준,nam-june-paik,Nam June Paik
이배,lee-bae,Lee Bae
이건용,lee-kun-yong,Lee Kun-Yong
천경자,chun-kyung-ja,Chun Kyung-Ja
정상화,chung-sang-hwa,Chung Sang-Hwa
유영국,yoo-youngkuk,Yoo Youngkuk
전광영,chun-kwang-young,Chun Kwang Young
이강소,lee-kang-so,Lee Kang-So
장욱진,chang-ucchin,Chang Ucchin
이응노,lee-ungno,Lee Ungno
남관,nam-kwan,Nam Kwan
하태임,ha-tae-im,Ha Tae Im
김태호,kim-tae-ho,Kim Tae-Ho
운보 김기창,kim-ki-chang,Kim Ki-Chang
산정 서세옥,suh-se-ok,Suh Se-Ok
황규백,hwang-kyu-baek,Hwang Kyu-Baek
이대원,lee-dae-won,Lee Dae-Won
이왈종,lee-wal-chong,Lee Wal-Chong
미셸 들라크루아,michel-delacroix,Michel Delacroix
베르나르 뷔페,bernard-buffet,Bernard Buffet
소정 변관식,byun-kwan-sik,Byun Kwan-Sik
전혁림,chun-hyuk-lim,Chun Hyuk-Lim
임직순,yim-jik-soon,Yim Jik-Soon
