artist_kr,artist_slug,title,medium,dimensions,date,auction_house,sale_name,lot,price,estimate,url
"이우환","lee-ufan","Work, 1967","graphite on paper","54.5 x 74.5 cm. (21 1/2 x 29 3/8 in.)","2026년 3월 29일","Phillips • Hong Kong","Modern & Contemporary Art","Lot 209","","HK$160,000–HK$240,000 (est)","/auction-result/7311007"
"이우환","lee-ufan","From Line, 1978","oil and mineral pigment on canvas","130.5 x 162.0 cm","2026년 3월 27일","Christie's","Live Auction 23844 20th/21st Century Evening Sale","Lot 32","","HK$8,000,000–HK$12,000,000 (est)","/auction-result/7310644"
"이우환","lee-ufan","From Line, 1978","Oil and mineral pigment on canvas","72.7 x 116.7 cm","2026년 3월 15일","SBI Art Auction","Bloom Now","Lot 128","","JPY ¥50,000,000–¥80,000,000 (est)","/auction-result/7309693"
"이우환","lee-ufan","From Port 11; and From Port 12","Two drypoints, on Arches paper, with full margins.","From Port 11 I. 19.6 x 13.8 cm (7 3/4 x 5 3/8 in.); S. 47 x 39.8 cm (18 1/2 x 15 5/8 in.) From Port 12 I. 13.8 x 19.6 cm (5 3/8 x 7 3/4 in.); S. 39.8 x 47 cm (15 5/8 x 18 1/2 in.)","2025년 11월 25일","Phillips • Hong Kong","Editions","Lot 57","HK$28,380 • US$3,647","HK$20,000–HK$30,000 (est)","/auction-result/7294173"
"이우환","lee-ufan","Relatum 74-1; and Relatum 74-2","Two woodcuts, on Japanese Washi paper, with full margins.","Both I. 23.6 x 33.5 cm (9 1/4 x 13 1/4 in.) Both S. 33.5 x 45.6 cm (13 1/4 x 17 7/8 in.)","2025년 11월 25일","Phillips • Hong Kong","Editions","Lot 56","Bought In","HK$30,000–HK$50,000 (est)","/auction-result/7294172"
"이우환","lee-ufan","In Milano 1; and In Milano 2","Two lithographs with drypoint, on BFK Rives paper, the full sheets.","In Milano 1 S. 150 x 89 cm (59 x 35 in.) In Milano 2 S. 89 x 150 cm (35 x 59 in.)","2025년 11월 25일","Phillips • Hong Kong","Editions","Lot 55","Bought In","HK$60,000–HK$80,000 (est)","/auction-result/7294171"
"이우환","lee-ufan","Correspondence, 2004","oil and mineral pigment on canvas","130.1 x 162.1 cm","2025년 11월 20일","Christie's","Live Auction 23486 Post-War & Contemporary Art Day Sale","Lot 754","US$457,200","US$300,000–US$500,000 (est)","/auction-result/7293597"
"이우환","lee-ufan","East Winds, 1984","oil and mineral pigment on canvas","90.8 x 72.4 cm","2025년 11월 20일","Christie's","Live Auction 23486 Post-War & Contemporary Art Day Sale","Lot 758","US$203,200","US$80,000–US$120,000 (est)","/auction-result/7293593"
"이우환","lee-ufan","From Line No. 780231, 1978","oil and mineral pigment on canvas","72.4 x 91.4 cm","2025년 11월 19일","Sotheby's","Contemporary Day Auction","Lot 247","US$609,600","US$400,000–US$600,000 (est)","/auction-result/7293303"
"이우환","lee-ufan","From Winds, 1986","oil and mineral pigment on canvas","218.4 x 291.1 cm","2025년 11월 17일","Christie's","Live Auction 23485 20th Century Evening Sale","Lot 70 A","US$1,524,000","US$1,000,000–US$1,500,000 (est)","/auction-result/7292243"
"이우환","lee-ufan","From Line, 1980","glue and mineral pigment on canvas","130.8 x 161.9 cm","2025년 10월 23일","Christie's","Live Auction 23807 Avant-Garde(s) including Thinking Italian","Lot 29 A","€2,012,000 • US$2,335,372","€1,000,000–€1,500,000 (est)","/auction-result/7290823"
"이우환","lee-ufan","Correspondance, 1997","oil and mineral pigment","54.0 x 65.0 cm","2025년 9월 30일","Christie's","Live Auction 24288 Collection Daniel Abadie, Une vie d'artistes","Lot 32","€139,700 • US$163,878","€50,000–€70,000 (est)","/auction-result/7285367"
"이우환","lee-ufan","Response, 2021","acrylic on canvas","162.0 x 130.0 cm","2025년 9월 29일","Sotheby's","Modern & Contemporary Day Auction","Lot 112","HK$6,604,000 • US$848,795","HK$4,000,000–HK$6,000,000 (est)","/auction-result/7288046"
"이우환","lee-ufan","From Winds, 1987","oil and mineral pigment on canvas","227.0 x 182.0 cm","2025년 9월 28일","Sotheby's","Modern & Contemporary Evening Auction","Lot 23","HK$6,350,000 • US$816,327","HK$5,000,000–HK$7,000,000 (est)","/auction-result/7288016"
"이우환","lee-ufan","From Point, 1977","oil on canvas","64.8 x 53.0 cm","2025년 9월 27일","Christie's","Live Auction 23394 20th Century Day Sale","Lot 124","HK$2,032,000 • US$261,224","HK$1,000,000–HK$1,800,000 (est)","/auction-result/7284295"
"이우환","lee-ufan","From Winds, 1986","oil and mineral pigment on canvas","40.5 x 32.0 cm","2025년 9월 27일","Christie's","Live Auction 23394 20th Century Day Sale","Lot 136","HK$952,500 • US$122,449","HK$300,000–HK$500,000 (est)","/auction-result/7284283"
"이우환","lee-ufan","1. A Cut Shot 1; 2. A Cut Shot 3, 1978","Woodcut","18.2 x 23.0 x 1.8 cm","2025년 9월 12일","SBI Art Auction","LIVE STREAM AUCTION","Lot 184","Bought In","","/auction-result/7282289"
"이우환","lee-ufan","Stopped on the Way 1, 2001","Drypoint and deluxe edition of the poetry book","21.6 x 15.6 x 2.4 cm","2025년 9월 12일","SBI Art Auction","LIVE STREAM AUCTION","Lot 185","Bought In","","/auction-result/7282288"
"이우환","lee-ufan","From Line No. 59942, 1979","glue and mineral pigment on canvas","60.5 x 72.6 cm","2025년 6월 5일","Christie's","Live Auction 24039 The Collection of Baron Diego von Buch","Lot 15","£352,800 • US$478,077","£150,000–£250,000 (est)","/auction-result/7266773"
"이우환","lee-ufan","A Port of Call 3, 1991","lithograph","90.0 x 75.2 cm","2025년 5월 30일","Christie's","20th/21st Century Online Sale","Lot 83","HK$35,280 • US$4,500","HK$24,000–HK$45,000 (est)","/auction-result/7266593"
