artist_kr,global_avg_price_usd,global_median_price_usd,global_max_price_usd,global_auction_count,global_bought_in_rate,global_avg_price_krw,global_median_price_krw,global_max_price_krw
김종학,52371.0,30708.0,253709.0,35,0.0,68082300,39920400,329821700
김창열,189157.0,80255.0,1268623.0,39,0.0,245904100,104331500,1649209900
김환기,844225.0,77336.0,13095600.0,44,0.0,1097492500,100536800,17024280000
남관,40215.0,14584.0,316113.0,35,0.0,52279500,18959200,410946900
미셸 들라크루아,6100.0,5000.0,20400.0,33,0.0,7930000,6500000,26520000
박서보,353179.0,256108.0,2606928.0,41,0.0,459132700,332940400,3389006400
백남준,50585.0,19350.0,279400.0,37,0.0,65760500,25155000,363220000
야요이 쿠사마,370768.0,31496.0,5052528.0,29,0.0,481998400,40944800,6568286400
유영국,163444.0,122570.0,412869.0,13,0.0,212477200,159341000,536729700
이강소,27142.0,26445.0,78182.0,34,0.0,35284600,34378500,101636600
이배,30373.0,27645.0,75000.0,26,0.0,39484900,35938500,97500000
이우환,293566.0,89047.0,2335372.0,41,0.0,381635800,115761100,3035983600
전광영,65016.0,50354.0,277001.0,43,0.0,84520800,65460200,360101300
정상화,216728.0,119024.0,830389.0,49,0.0,281746400,154731200,1079505700
타카시 무라카미,105301.0,3978.0,2759000.0,38,0.0,136891300,5171400,3586700000
베르나르 뷔페,150000.0,80000.0,450000.0,50,0.1,195000000,104000000,585000000
오치균,25000.0,15000.0,75000.0,50,0.1,32500000,19500000,97500000
김기창,45000.0,30000.0,135000.0,24,0.1,58500000,39000000,175500000
이응노,80000.0,60000.0,240000.0,6,0.1,104000000,78000000,312000000
황영성,8000.0,5000.0,24000.0,20,0.1,10400000,6500000,31200000
최영욱,15000.0,12000.0,45000.0,5,0.1,19500000,15600000,58500000
이왈종,5000.0,3000.0,20000.0,46,0.15,6500000,3900000,26000000
장욱진,80000.0,50000.0,500000.0,50,0.1,104000000,65000000,650000000
