작가명,작품명,actual_krw,predicted_krw,ape,ratio,ho,career_stage,support_type
염지애,Ordinary People II,4040960.0,5840437.651123718,0.4453094440736158,1.4453094440736158,50,2,paper
양민희,Coastal Yellow-2501,1154560.0,2324431.0478042727,1.0132613703958848,2.0132613703958846,8,3,canvas
염지애,Floating Time,793760.0,1792314.5225322754,1.2580055968205446,2.2580055968205444,6,2,paper
안나박,Touch and Go,144320000.0,4993715.234727204,0.9653983146152494,0.03460168538475058,80,3,paper
박윤지,Where you stayed,21648000.0,6889762.237850851,0.6817367776306886,0.3182632223693113,80,3,paper
전희경,Where Gravity Meets Time,17318400.0,10478672.425427947,0.3949399236980352,0.6050600763019648,80,4,canvas
송지혜,Sommer in der WG,15327270.0,9265527.318034684,0.3954874339634727,0.6045125660365274,120,3,linen
주연수,Greeting Room,107254500.0,4303415.595060643,0.9598765963660205,0.04012340363397939,50,3,linen
이소연,Nestled,14432000.0,2093430.931276553,0.8549451960035648,0.14505480399643522,10,3,canvas
정서현(Seona Jeong),Dear.,5620000.0,2081539.2306319545,0.6296193539800793,0.3703806460199207,40,1,canvas
이효선,The Things I Long For Are Behind the Mountain,4185280.0,3512443.608470618,0.16076257539026834,0.8392374246097317,40,3,canvas
조무현,Not yet titled,3319360.0,2391640.8703725445,0.27948734985884494,0.7205126501411551,40,1,canvas
남유연,Blue Suggestion,1082400.0,821465.099505949,0.24107067673138494,0.7589293232686151,4,3,canvas
Abang,Mooood triplet,2400000.0,5026539.62599009,1.0943915108292042,2.094391510829204,40,3,canvas
권소영,Entangled Flow,5441700.0,4472670.86462428,0.17807470742152645,0.8219252925784736,25,4,paper
김윤섭,Contemporary art and a lion,9541500.0,5495015.146608325,0.4240931565678012,0.5759068434321988,50,4,canvas
최지은,sister,8800000.0,6134962.036981926,0.30284522307023565,0.6971547769297644,100,1,canvas
양현모,Flexible Forms 08.08,14000000.0,9917976.391323868,0.29157311490543797,0.708426885094562,100,2,canvas
윤성광,This Card Is Maxed Out...?.........,3600000.0,3598218.8562653926,0.00049476214850205,0.9995052378514979,60,1,canvas
이민우,Pure,7500000.0,8139036.254962558,0.08520483399500772,1.0852048339950078,50,3,canvas
나혜원,Winter Cowboy,1350000.0,1447679.9781464303,0.07235553936772618,1.0723555393677262,12,2,canvas
김찬송,Nuance,9823300.0,8156503.682406762,0.16967783917759188,0.8303221608224082,100,4,canvas
이아현,Pretty soft exterior,3259300.0,4128656.9276071345,0.26673117773974,1.2667311777397399,60,2,canvas
현승의,Time of the Night,8000000.0,4125576.755318061,0.48430290558524236,0.5156970944147576,60,2,paper
조서영,Book and Night,837060.0,670446.9599628914,0.1990455164947657,0.8009544835052342,4,1,canvas
정진아,"Landscape Elements, 2024",4200000.0,3510264.7818419132,0.16422267099002066,0.8357773290099794,30,3,canvas
임재연,Eros and Art Nouveau pattern,1977180.0,2402723.0929153804,0.21522728983470416,1.215227289834704,30,1,canvas
홍성화,Serenity_22 (평온_22),2597760.0,3096661.686827525,0.19205072324907807,1.192050723249078,15,3,canvas
박니나,While waiting for water to boil,8659200.0,5316901.303541891,0.3859823882642864,0.6140176117357136,60,2,canvas
전영진,Painting on painting,13854720.0,6762934.280024652,0.5118678486447469,0.4881321513552531,80,4,canvas
김율,Curious Eyes,3175040.0,4739447.625517214,0.4927206036828556,1.4927206036828555,30,2,canvas
최승윤,The Inflection Point of Time-2023-2,28864000.0,18320638.671850264,0.3652772078765845,0.6347227921234154,200,4,canvas
