순위,영문명,정규화_영문명,작품_수,Artsy_점유율_pct,분석_메모_참고용,추정_한글명_참고용,명칭_한글_확정,티어,분류,리스트_추가_여부,비고
1,Art Spoon,art spoon,659,9.04,분석_input,아트스푼,아트스푼,Tier D,기타(플랫폼),yes,플랫폼
2,Gallery Grimson,gallery grimson,574,7.87,분석_input,갤러리 그림슨,갤러리 그림손,Tier B,갤러리,yes,
3,Suppoment Gallery,suppoment gallery,550,7.55,분석_input,써포먼트 갤러리,써포먼트 갤러리,Tier B,갤러리,yes,
4,Keumsan Gallery,keumsan gallery,485,6.65,분석_input,금산갤러리,금산갤러리,Tier B,갤러리,yes,
5,The Trinity Gallery,the trinity gallery,465,6.38,분석_input,트리니티 갤러리,더 트리니티 갤러리,Tier D,갤러리,yes,
6,MOOWOOSOO Gallery,moowoosoo gallery,365,5.01,분석_input,무우수갤러리,무우수갤러리,Tier D,갤러리,yes,
7,Objecthood,objecthood,271,3.72,분석_input,오브젝트후드,오브제후드,Tier C,갤러리,yes,
8,Art in Dongsan,art in dongsan,250,3.43,분석_input,아트인동산,아트인동산,Tier D,갤러리,yes,
9,GalleryMEME,gallerymeme,239,3.28,분석_input,갤러리밈,갤러리밈,Tier B,갤러리,yes,
10,Gallery Playlist,gallery playlist,227,3.11,분석_input,갤러리 플레이리스트,갤러리 플레이리스트,Tier C,갤러리,yes,
11,Galerie GAIA,galerie gaia,202,2.77,분석_input,갤러리 가이아,갤러리 가이아,Tier B,갤러리,yes,
12,Kuns Gallery,kuns gallery,160,2.2,분석_input,쿤스 갤러리,쿤스 갤러리,Tier D,갤러리,yes,
13,art.ness,art.ness,138,1.89,분석_input,아트네스,아트니스,Tier D,기타(플랫폼),yes,플랫폼
14,THEO,theo,136,1.87,분석_input,테오,띠오,Tier C,갤러리,yes,
15,Genuine Global Company,genuine global company,109,1.5,한글명 미상 — 검수 필요,,제뉴인글로벌컴퍼니,Tier D,기타(전시기획사),yes,
16,LYNN Fine Art Gallery,lynn fine art gallery,103,1.41,분석_input,린 파인아트 갤러리,린파인아트 갤러리,Tier B,갤러리,yes,
17,IdeelArt,ideelart,102,1.4,분석_input,아이딜아트,아이딜아트,Tier D,기타(플랫폼),yes,플랫폼
18,Space776,space776,101,1.39,분석_input,스페이스776,스페이스776,Tier B,갤러리,yes,
19,CDA,cda,100,1.37,한글명 미상 — 검수 필요,,씨디에이,Tier C,갤러리,yes,
20,Dohing Art,dohing art,83,1.14,분석_input,도잉아트,도잉아트,Tier B,갤러리,yes,
21,Gallery We,gallery we,72,0.99,분석_input,갤러리 위,갤러리위,Tier B,갤러리,yes,
22,Combineworks Seoul,combineworks seoul,71,0.97,분석_input,컴바인웍스 서울,컴바인웍스 갤러리,Tier C,갤러리,yes,
23,AVO,avo,66,0.91,한글명 미상 — 검수 필요,,에이뷔오,Tier C,갤러리,yes,
24,UARTSPACE,uartspace,64,0.88,분석_input,유아트스페이스,유아트스페이스,Tier B,갤러리,yes,
25,galerie bruno massa,galerie bruno massa,62,0.85,분석_input,갤러리 브루노 마사,갤러리 브루노 마사,Tier D,갤러리,yes,
26,Art Works Paris Seoul Gallery,art works paris seoul gallery,59,0.81,분석_input,아트웍스 파리 서울 갤러리,아트웍스 파리 서울 갤러리,Tier D,갤러리,yes,
27,ROY Gallery,roy gallery,58,0.8,분석_input,로이 갤러리,로이갤러리,Tier C,갤러리,yes,
28,SPACE SO,space so,58,0.8,분석_input,스페이스 소,스페이스 소,Tier D,갤러리,yes,
29,oaoa,oaoa,55,0.75,분석_input,오아오아,오에이오에이,Tier C,갤러리,yes,
30,Gallery Ichon,gallery ichon,53,0.73,분석_input,갤러리 이촌,이촌화랑,Tier D,갤러리,yes,현재 'ICG'로 명칭 변경
