artist_name_ko,medium_category,support_category,has_depth,depth_cm,width_cm,height_cm,log_area,estimated_ho,orientation,price_krw_unified,ln_price_krw_unified
황선태,other,other,1,4.0,50.0,67.0,8.116715624819111,14.28,portrait,17250000.0,16.663322701441643
황선태,other,other,1,4.0,67.0,50.0,8.116715624819111,14.28,landscape,17250000.0,16.663322701441643
최수앙,pigment,metal,1,21.0,50.0,18.0,6.802394763324311,4.65,landscape,11040000.0,16.217035598813222
황선태,other,other,1,4.0,67.0,50.0,8.116715624819111,14.28,landscape,17250000.0,16.663322701441643
윤희이,other,other,1,15.0,33.0,29.0,6.863803391452954,5.02,landscape,2484000.0,14.725380722035506
최수앙,other,metal,1,25.0,16.5,25.0,6.022236205774735,1.52,portrait,5520000.0,15.52388841825328
윤희이,other,other,1,15.0,33.0,29.0,6.863803391452954,5.02,landscape,2484000.0,14.725380722035506
김한샘,acrylic,other,1,26.0,12.0,21.5,5.552959584921617,0.06,portrait,3060000.0,14.933925473928564
황선태,other,other,1,4.0,67.0,50.0,8.116715624819111,14.28,landscape,17250000.0,16.663322701441643
황선태,other,other,1,4.0,67.0,50.0,8.116715624819111,14.28,landscape,17250000.0,16.663322701441643
석예지,acrylic,other,1,6.0,31.0,24.0,6.612041034833092,3.69,landscape,1311000.0,14.086300762745838
최수앙,other,metal,1,25.0,16.5,25.0,6.022236205774735,1.52,portrait,5520000.0,15.52388841825328
최수앙,other,metal,1,25.0,16.5,25.0,6.022236205774735,1.52,portrait,5520000.0,15.52388841825328
윤희이,other,other,1,15.0,33.0,29.0,6.863803391452954,5.02,landscape,2484000.0,14.725380722035506
윤희이,other,other,1,15.0,33.0,29.0,6.863803391452954,5.02,landscape,2484000.0,14.725380722035506
김한샘,acrylic,other,1,18.0,33.0,20.5,6.516932447610842,3.37,landscape,3748500.0,15.136866317925254
이예주,acrylic,panel,1,5.0,91.5,66.0,8.705993714307901,27.94,landscape,3750000.0,15.137266397946592
홍정옥,acrylic,other,0,0.0,40.0,47.5,7.549609165154532,8.51,portrait,6762000.0,15.726829262249968
윤희이,other,other,1,15.0,33.0,29.0,6.863803391452954,5.02,landscape,2484000.0,14.725380722035506
이예주,acrylic,panel,1,27.0,42.5,54.5,7.747704777599569,9.72,portrait,1750000.0,14.375126345899696
이예주,acrylic,other,1,17.0,22.0,27.0,6.386879319362645,2.95,portrait,750000.0,13.527828485512494
이예주,acrylic,other,1,31.0,33.0,44.0,7.280697195384741,6.71,portrait,1250000.0,14.038654109278484
황선태,other,other,1,4.0,67.0,50.0,8.116715624819111,14.28,landscape,17250000.0,16.663322701441643
이예주,acrylic,panel,1,6.0,93.0,118.5,9.307512453728442,51.95,portrait,4500000.0,15.319587954740548
진귀원,pigment,metal,1,52.0,110.0,52.0,8.651724084373843,26.78,landscape,6624000.0,15.706209975047232
이예주,pencil,other,1,30.0,37.0,63.0,7.754052639035757,9.77,portrait,1750000.0,14.375126345899696
백남준,mixed,other,1,51.0,73.0,40.0,7.979338895262328,11.64,landscape,483000000.0,19.99552721161685
윤희이,other,other,1,15.0,33.0,29.0,6.863803391452954,5.02,landscape,2484000.0,14.725380722035506
송필,pigment,metal,1,26.0,144.0,120.0,9.757305042358048,84.02,landscape,27600000.0,17.133326330687378
최수앙,pigment,paper,1,30.0,76.0,36.0,7.914252278742441,11.05,landscape,14352000.0,16.479399863280715
홍정옥,acrylic,other,0,0.0,45.0,56.0,7.832014180505469,10.35,portrait,7590000.0,15.842342149371811
윤희이,other,other,1,15.0,33.0,29.0,6.863803391452954,5.02,landscape,2484000.0,14.725380722035506
