artist_key,old_artist_name_ko,new_artist_name_ko,rows,reason
myunggyun you,유명규느,유명균,93,obvious_bad_romanization
sang wooc rhee,이상우크,이상욱,79,obvious_bad_romanization
hyungjun suh,서현그준,서형준,76,obvious_bad_romanization
seung yean cho,조승예안,조승연,76,obvious_bad_romanization
choonjae kim,김초온재,김춘재,64,obvious_bad_romanization
jihyeon choi,최지혜온,최지현,60,obvious_bad_romanization
kim deasung,김데아성,김대성,55,obvious_bad_romanization
choongmok yoo,유초온그목,유충목,54,obvious_bad_romanization
kwon neung,권네운그,권능,52,obvious_bad_romanization
kim deok han,김더크한,김덕한,49,obvious_bad_romanization
hyegyun kim,김혜규느,김혜균,47,obvious_bad_romanization
deokhwan yoon,윤더크환,윤덕환,46,obvious_bad_romanization
gwanhee lee,이그완희,이관희,42,obvious_bad_romanization
sungone jung,정성온에,정성원,40,obvious_bad_romanization
keem jiyoung,케에므지영,김지영,37,obvious_bad_romanization
kwang bum jang,장광부므,장광범,37,obvious_bad_romanization
soon yeal yang,양순예아르,양순열,35,obvious_bad_romanization
jihyung nam,남지현그,남지형,33,obvious_bad_romanization
bomyee kim,김봄예에,김봄이,32,obvious_bad_romanization
sangik seo,서상이크,서상익,29,obvious_bad_romanization
aedam kim donghyung,애댐김동현그,애담 김동형,26,track3_manual_override
gyunghwa roh,노규응화,노경화,25,obvious_bad_romanization
seo hyun sohn,서현소흐느,손서현,25,obvious_bad_romanization
cheong hyeong yeol,정형여르,정형열,23,obvious_bad_romanization
jungwon phee,정원프희,피정원,21,obvious_bad_romanization
yoon sang yuel,윤상유에르,윤상열,21,obvious_bad_romanization
sook ja rho,숙자르호,노숙자,20,obvious_bad_romanization
jungkee son,손정케에,손정기,19,obvious_bad_romanization
bahk younghoon,바흐크영훈,박영훈,18,obvious_bad_romanization
seim shon,세이므쇼느,손세임,18,obvious_bad_romanization
sukhyung kang,강석현그,강석형,18,obvious_bad_romanization
woongjoo seo,서운그주,서웅주,18,obvious_bad_romanization
bae hyung kyung,배현그경,배형경,17,obvious_bad_romanization
eunphil cho,조은프힐,조은필,17,obvious_bad_romanization
ingee chung,정인게에,정인지,17,obvious_bad_romanization
kee tae kim,김케에태,김기태,17,obvious_bad_romanization
kim sookang,김숙안그,김수강,17,obvious_bad_romanization
sangdeok ra,상더크라,라상덕,17,obvious_bad_romanization
jeayeon hong,홍제아연,홍재연,16,obvious_bad_romanization
hoh woo jung,정호흐우,정호우,15,obvious_bad_romanization
jeehui hong,홍지후이,홍지희,15,obvious_bad_romanization
siwol park,박시워르,박시월,15,obvious_bad_romanization
eunbyeol choi,최은브여르,최은별,11,obvious_bad_romanization
byeolhee jeon,전브여르희,전별희,10,obvious_bad_romanization
sanggyun lee,이상규느,이상균,9,obvious_bad_romanization
choong yeul yoo,유초온그예우르,유충열,8,obvious_bad_romanization
hwallam moon,문화르람,문화람,7,obvious_bad_romanization
jaebum joo,주재부므,주재범,7,obvious_bad_romanization
seol min yi,이서르민,이설민,7,obvious_bad_romanization
um hyo yong,용우므효,엄효용,7,obvious_bad_romanization
youn miock,윤미오크크,윤미옥,7,obvious_bad_romanization
