rows,artist_key,artist_name_standardized,current_artist_name_ko,sources,review_reason
375,kai ax,kai ax,카이아엑스,saatchi,hangul_name_len_ge_4_not_overridden
256,lacey kim,lacey kim,김레이시,saatchi,hangul_name_len_ge_4_not_overridden
233,ivie ives,ivie ives,이비에이베스,saatchi,hangul_name_len_ge_4_not_overridden
219,karis kim,karis kim,김카리스,saatchi,hangul_name_len_ge_4_not_overridden
124,ouchul hwang,ouchul hwang,황오우철,saatchi,hangul_name_len_ge_4_not_overridden
121,lydia lee,lydia lee,이리디아,saatchi,hangul_name_len_ge_4_not_overridden
114,hagley art,hagley art,하그레이아트,saatchi,hangul_name_len_ge_4_not_overridden
100,gallery hexagon,gallery hexagon,핵사곤갤러리,saatchi,hangul_name_len_ge_4_not_overridden
85,jinho kee,jinho kee,진호케에,saatchi,hangul_name_len_ge_4_not_overridden
80,yohahn diko,yohahn diko,디코요한,saatchi,hangul_name_len_ge_4_not_overridden
79,jennifer lee,jennifer lee,이제니퍼,saatchi,hangul_name_len_ge_4_not_overridden
65,weedong yoon b 1982,Weedong Yoon (b.1982),윤웨에동,artsy,hangul_name_len_ge_4_not_overridden
64,kris kim,kris kim,김크리스,saatchi,hangul_name_len_ge_4_not_overridden
54,leysan khasan,leysan khasan,레이산크하산,saatchi,hangul_name_len_ge_4_not_overridden
52,marina ogai,marina ogai,마린아옥아이,saatchi,hangul_name_len_ge_4_not_overridden
47,yoo suzy,Yoo Suzy,유수즈이,"artsy,artue",hangul_name_len_ge_4_not_overridden
45,erica choi,erica choi,최어이카,saatchi,hangul_name_len_ge_4_not_overridden
45,stepper studio,stepper studio,스테퍼스튜디오,saatchi,hangul_name_len_ge_4_not_overridden
44,hazzi eunjeong kim,hazzi eunjeong kim,김하즈지은정,saatchi,hangul_name_len_ge_4_not_overridden
44,lookha bark,lookha bark,루크하바르크,saatchi,hangul_name_len_ge_4_not_overridden
43,wang yeul,Wang Yeul,왕예우르,artsy,hangul_name_len_ge_4_not_overridden
40,chanoo park,Chanoo Park,박찬오오,artsy,hangul_name_len_ge_4_not_overridden
39,jeremy yong,jeremy yong,용제레미,saatchi,hangul_name_len_ge_4_not_overridden
39,mihei her,Mihei Her,미헤이헤르,artsy,hangul_name_len_ge_4_not_overridden
39,minjeong guem,Minjeong Guem,민정구에므,artsy,hangul_name_len_ge_4_not_overridden
38,matthew anderson,matthew anderson,매튜안데르선,saatchi,hangul_name_len_ge_4_not_overridden
38,ryu hoimin,ryu hoimin,류호이민,saatchi,hangul_name_len_ge_4_not_overridden
38,stella sujin,Stella Sujin,스텔라수진,artsy,hangul_name_len_ge_4_not_overridden
34,valeriia kapitulska park lia,valeriia kapitulska park lia,바레리이아캅이툴스카박리아,saatchi,hangul_name_len_ge_4_not_overridden
34,zhanna kan,zhanna kan,즈한나칸,saatchi,hangul_name_len_ge_4_not_overridden
33,diego rodarte,Diego Rodarte,디에고로다르테,artue,hangul_name_len_ge_4_not_overridden
30,haneyl choi,Haneyl Choi,최한에이르,artsy,hangul_name_len_ge_4_not_overridden
29,sophie an,sophie an,안솝히에,saatchi,hangul_name_len_ge_4_not_overridden
28,gbday,GBDAY,그브다이,"artsy,artue",hangul_name_len_ge_4_not_overridden
28,jenny seongryung lee,jenny seongryung lee,이제니성륭,saatchi,hangul_name_len_ge_4_not_overridden
28,lee yimchoon,lee yimchoon,이임초온,saatchi,hangul_name_len_ge_4_not_overridden
27,melody park,melody park,박멜로디,saatchi,hangul_name_len_ge_4_not_overridden
27,pogoby official,pogoby official,포고브이오프피시아르,saatchi,hangul_name_len_ge_4_not_overridden
27,sambypen,SAMBYPEN,샘바이펜,"artsy,artue",hangul_name_len_ge_4_not_overridden
26,g sim seyeon,'G-sim' Seyeon,그심세연,artsy,hangul_name_len_ge_4_not_overridden
26,kim greem,Kim Greem,김그리므,artsy,hangul_name_len_ge_4_not_overridden
26,suzy yoo,Suzy Yoo,유수즈이,artsy,hangul_name_len_ge_4_not_overridden
25,denis lee,denis lee,이데니스,saatchi,hangul_name_len_ge_4_not_overridden
25,junesuk park,junesuk park,박준에석,saatchi,hangul_name_len_ge_4_not_overridden
25,woori bai,woori bai,우리바이,saatchi,hangul_name_len_ge_4_not_overridden
24,david surman,David Surman,데이비드수르만,artue,hangul_name_len_ge_4_not_overridden
24,michelle sakhai,Michelle Sakhai,미체르레삭하이,artue,hangul_name_len_ge_4_not_overridden
24,min jung key,Min Jung Key,민정케이,artsy,hangul_name_len_ge_4_not_overridden
24,yislow,Yislow,이스로우,artue,hangul_name_len_ge_4_not_overridden
23,gisele park,gisele park,박기세레,saatchi,hangul_name_len_ge_4_not_overridden
22,clara baik,clara baik,크라라바이크,saatchi,hangul_name_len_ge_4_not_overridden
21,ccreatt,CCREATT,크크레아트,"artsy,artue",hangul_name_len_ge_4_not_overridden
21,doezny,Doezny,도에즈느이,artsy,hangul_name_len_ge_4_not_overridden
21,ubatsat,ubatsat,웁아쓰아트,artue,hangul_name_len_ge_4_not_overridden
20,aira choi,aira choi,최아이라,saatchi,hangul_name_len_ge_4_not_overridden
20,andy h jung,Andy H. Jung,정앤디흐,artsy,hangul_name_len_ge_4_not_overridden
20,jiieh g hur,Jiieh G Hur,허지이에흐그,artsy,hangul_name_len_ge_4_not_overridden
19,isaac oz,Isaac OZ,이사아크오즈,artsy,hangul_name_len_ge_4_not_overridden
19,jane nee,jane nee,제인네에,saatchi,hangul_name_len_ge_4_not_overridden
18,faozee,Faozee,파오제에,artue,hangul_name_len_ge_4_not_overridden
18,phichai keawvichit,Phichai Keawvichit,프히차이케아우비치트,artue,hangul_name_len_ge_4_not_overridden
18,samuel almansa,Samuel Almansa,사무엘아르만사,artue,hangul_name_len_ge_4_not_overridden
18,semi yh,semi yh,세미이흐,saatchi,hangul_name_len_ge_4_not_overridden
17,yiyi jeong eun,YiYi Jeong-Eun,이이정은,artsy,hangul_name_len_ge_4_not_overridden
16,daniel kim,daniel kim,김다니엘,saatchi,hangul_name_len_ge_4_not_overridden
16,ruis luiz,Ruis Luiz,루이스루이즈,artsy,hangul_name_len_ge_4_not_overridden
16,theresia massawe,Theresia Massawe,더레시아마스사웨,artue,hangul_name_len_ge_4_not_overridden
16,wichuda khuntijit,Wichuda Khuntijit,위추다크훈티지트,artue,hangul_name_len_ge_4_not_overridden
15,evi pangestu,Evi Pangestu,에비팡에스투,artue,hangul_name_len_ge_4_not_overridden
15,insane park,Insane Park,박인산에,artsy,hangul_name_len_ge_4_not_overridden
15,jojo anavim,Jojo Anavim,조조안아비므,artue,hangul_name_len_ge_4_not_overridden
15,mekyeoung lee,Mekyeoung LEE,이메크여운그,artsy,hangul_name_len_ge_4_not_overridden
15,paul gadd,paul gadd,폴가드드,saatchi,hangul_name_len_ge_4_not_overridden
14,etaehoon art,etaehoon art,에태훈아트,saatchi,hangul_name_len_ge_4_not_overridden
14,farzana ahmed urmi,farzana ahmed urmi,파르자나아메드우미,saatchi,hangul_name_len_ge_4_not_overridden
14,hyosy hyosy,hyosy hyosy,효시효시,saatchi,hangul_name_len_ge_4_not_overridden
14,jinhyung lee,Jinhyung Lee,이진현그,artue,hangul_name_len_ge_4_not_overridden
14,kwangik song,Kwangik Song,송광이크,artsy,hangul_name_len_ge_4_not_overridden
14,rosie park,rosie park,박로시에,saatchi,hangul_name_len_ge_4_not_overridden
14,sang oktabu kim,sang oktabu kim,김상옥타부,saatchi,hangul_name_len_ge_4_not_overridden
14,seon wha jo,Seon-wha Jo,조선우하,artue,hangul_name_len_ge_4_not_overridden
14,seonggwang yun,Seonggwang Yun,윤성그왕,artue,hangul_name_len_ge_4_not_overridden
14,soilart jo dojoong,soilart jo dojoong,소일아트조도중,saatchi,hangul_name_len_ge_4_not_overridden
14,yeon gyeong seo,yeon gyeong seo,서연그영,saatchi,hangul_name_len_ge_4_not_overridden
13,alexandra grant,Alexandra Grant,아레엑스안드라그란트,artue,hangul_name_len_ge_4_not_overridden
13,donghwi dongza,donghwi dongza,동흐위동자,saatchi,hangul_name_len_ge_4_not_overridden
13,duenchayphoochana phooprasert,Duenchayphoochana Phooprasert,두엔차이프후찬아프후프라세르트,artue,hangul_name_len_ge_4_not_overridden
13,gwondo back,gwondo back,백그원도,saatchi,hangul_name_len_ge_4_not_overridden
13,gyeore lee,Gyeore Lee,이그여레,artsy,hangul_name_len_ge_4_not_overridden
13,jeongkeun nam,jeongkeun nam,남정케운,saatchi,hangul_name_len_ge_4_not_overridden
13,jueon im,Jueon Im,임주어느,artsy,hangul_name_len_ge_4_not_overridden
13,kim inbai,Kim Inbai,김인바이,artsy,hangul_name_len_ge_4_not_overridden
13,shin ki ock,Shin Ki Ock,신기오크크,artsy,hangul_name_len_ge_4_not_overridden
12,chasoong koo,ChaSoong Koo,구차순그,artsy,hangul_name_len_ge_4_not_overridden
12,greg haberny,Greg Haberny,그레그하베르느이,artue,hangul_name_len_ge_4_not_overridden
12,hyun nahm,Hyun Nahm,현나흐므,artsy,hangul_name_len_ge_4_not_overridden
12,jeimin kim,Jeimin Kim,김제이민,artsy,hangul_name_len_ge_4_not_overridden
12,jeong min suh,Jeong Min Suh,정민수흐,artsy,hangul_name_len_ge_4_not_overridden
12,jessup choi,Jessup Choi,최제스섭,artsy,hangul_name_len_ge_4_not_overridden
12,joy rock,Joy Rock 無憂樹,조이로크크,artsy,hangul_name_len_ge_4_not_overridden
12,kim hyung gwan,Kim Hyung Gwan,김현그그완,artsy,hangul_name_len_ge_4_not_overridden
12,minhui jeong,minhui jeong,정민후이,saatchi,hangul_name_len_ge_4_not_overridden
12,nature haan,Nature Haan,나투레하안,artue,hangul_name_len_ge_4_not_overridden
12,prach pimarnman,Prach Pimarnman,프라크흐핌아느만,artue,hangul_name_len_ge_4_not_overridden
12,roger shepherd,roger shepherd,로게르셰프헤르드,saatchi,hangul_name_len_ge_4_not_overridden
12,sangjune won,sangjune won,원상준에,saatchi,hangul_name_len_ge_4_not_overridden
12,tomotoshi hoshino,Tomotoshi Hoshino,톰오토시호신오,artue,hangul_name_len_ge_4_not_overridden
12,ttodoa,TTODOA,트오도아,artsy,hangul_name_len_ge_4_not_overridden
12,wal chirachaisakul,Wal Chirachaisakul,왈치라차이삭우르,artue,hangul_name_len_ge_4_not_overridden
12,wheedong kim,WheeDong Kim,김우희동,artsy,hangul_name_len_ge_4_not_overridden
12,zingylabel,Zingylabel,진그이라벨,artsy,hangul_name_len_ge_4_not_overridden
12,가이 야나이,가이 야나이,가이 야나이,gallery_primary,hangul_name_len_ge_4_not_overridden
11,art jeeno,Art Jeeno,아트지노,artue,hangul_name_len_ge_4_not_overridden
11,chonnapas yokyai,Chonnapas Yokyai,초느납아스욕야이,artue,hangul_name_len_ge_4_not_overridden
11,hey sook yoo,Hey Sook YOO,유헤이숙,artue,hangul_name_len_ge_4_not_overridden
11,jaehui jeong,jaehui jeong,정재후이,saatchi,hangul_name_len_ge_4_not_overridden
11,jeenee lee,Jeenee Lee,이지네에,artsy,hangul_name_len_ge_4_not_overridden
11,jeongwoong lee,Jeongwoong Lee,이정운그,artsy,hangul_name_len_ge_4_not_overridden
11,juli baker and summer,Juli Baker and Summer,줄이박어안드썸머,artue,hangul_name_len_ge_4_not_overridden
11,laila lee,laila lee,이라일아,saatchi,hangul_name_len_ge_4_not_overridden
11,leeyunh ee,leeyunh ee,이윤흐이,saatchi,hangul_name_len_ge_4_not_overridden
11,park jiemin,Park Jiemin,박지에민,artsy,hangul_name_len_ge_4_not_overridden
11,sungkuen lee,Sungkuen Lee,이성쿠엔,artsy,hangul_name_len_ge_4_not_overridden
11,yun hee toh,Yun-Hee Toh,윤희토흐,artsy,hangul_name_len_ge_4_not_overridden
10,amonmazdah,AmonMazdah,아몬마즈다흐,artsy,hangul_name_len_ge_4_not_overridden
10,artist aeun,artist aeun,아티스트애운,saatchi,hangul_name_len_ge_4_not_overridden
10,bareu kim,Bareu Kim,김바레우,artsy,hangul_name_len_ge_4_not_overridden
10,dagyeong yun,dagyeong yun,윤다그영,saatchi,hangul_name_len_ge_4_not_overridden
10,dongzadonghwi,DONGZADONGHWI,동자동흐위,artsy,hangul_name_len_ge_4_not_overridden
10,doppel kim,Doppel Kim,김돕페르,artsy,hangul_name_len_ge_4_not_overridden
10,elle rosenfeld,elle rosenfeld,에르레로센페르드,saatchi,hangul_name_len_ge_4_not_overridden
10,gabby chu,Gabby Chu,주갑브이,artsy,hangul_name_len_ge_4_not_overridden
10,huieun oh,huieun oh,오후이은,saatchi,hangul_name_len_ge_4_not_overridden
10,hwartist,HWARTIST,화르티스트,artsy,hangul_name_len_ge_4_not_overridden
10,hyungsub choi,Hyungsub Choi,최현그섭,artsy,hangul_name_len_ge_4_not_overridden
10,jennifer hur,Jennifer Hur,허제니퍼,artsy,hangul_name_len_ge_4_not_overridden
10,jo nury,Jo NuRy,조누르이,artsy,hangul_name_len_ge_4_not_overridden
10,kaia kim,Kaia Kim,김카이아,artsy,hangul_name_len_ge_4_not_overridden
10,keunhyung park,Keunhyung Park,박케운현그,artsy,hangul_name_len_ge_4_not_overridden
10,kipum bae,kipum bae,배킵우므,saatchi,hangul_name_len_ge_4_not_overridden
10,la kitki,la kitki,라기트기,saatchi,hangul_name_len_ge_4_not_overridden
10,minjung key,Minjung Key,민정케이,artue,hangul_name_len_ge_4_not_overridden
10,ohsamchil,ohsamchil,오샘치르,artsy,hangul_name_len_ge_4_not_overridden
10,park hyun woong,PARK HYUN WOONG,박현운그,artsy,hangul_name_len_ge_4_not_overridden
10,seoul kim,Seoul Kim,김서우르,artsy,hangul_name_len_ge_4_not_overridden
10,seoun gang kim,Seoun Gang Kim,김서운강,artsy,hangul_name_len_ge_4_not_overridden
10,stella park,Stella Park,박스텔라,artsy,hangul_name_len_ge_4_not_overridden
10,stepper,STEPPER,스테프페르,artsy,hangul_name_len_ge_4_not_overridden
10,teresia huwon yoo,teresia huwon yoo,유테레시아후원,saatchi,hangul_name_len_ge_4_not_overridden
10,엠버 토플리세크,엠버 토플리세크,엠버 토플리세크,gallery_primary,hangul_name_len_ge_4_not_overridden
10,코린 폰 레부자,코린 폰 레부자,코린 폰 레부자,gallery_primary,hangul_name_len_ge_4_not_overridden
9,alice yaelin yang,Alice Yaelin Yang,양앨리스얘린,artsy,hangul_name_len_ge_4_not_overridden
9,digital d,digital d,디기탈드,saatchi,hangul_name_len_ge_4_not_overridden
9,evgeniya tuchkova,evgeniya tuchkova,에브겐이야투크흐코바,saatchi,hangul_name_len_ge_4_not_overridden
9,guem eye,guem eye,구에므에예,saatchi,hangul_name_len_ge_4_not_overridden
9,gwaxng,GWAXNG,그와엑스응,artsy,hangul_name_len_ge_4_not_overridden
9,hyevin namgoong,hyevin namgoong,혜비느남구응,saatchi,hangul_name_len_ge_4_not_overridden
9,jack kabangu,Jack Kabangu,잭카방우,artue,hangul_name_len_ge_4_not_overridden
9,jaiyoung cho,Jaiyoung Cho,조자이영,artsy,hangul_name_len_ge_4_not_overridden
9,jason ha,Jason Ha,하제이슨,artsy,hangul_name_len_ge_4_not_overridden
9,jeongwoong lee,JeongWoong Lee,이정운그,artue,hangul_name_len_ge_4_not_overridden
9,jinhui lee,jinhui lee,이진후이,saatchi,hangul_name_len_ge_4_not_overridden
9,jinyoup chris park,jinyoup chris park,박진유프크리스,saatchi,hangul_name_len_ge_4_not_overridden
9,jione choi,Jione Choi,최지온에,artsy,hangul_name_len_ge_4_not_overridden
9,kimi jaak,KIMI JAAK,김이자아크,artsy,hangul_name_len_ge_4_not_overridden
9,lillodoodle,lillodoodle,리르로두드레,artsy,hangul_name_len_ge_4_not_overridden
9,pakpoom silaphan,PAKPOOM SILAPHAN,팍푸므실아프한,artue,hangul_name_len_ge_4_not_overridden
9,seirin hyung,seirin hyung,세이인현그,saatchi,hangul_name_len_ge_4_not_overridden
9,seounghee lee,Seounghee Lee,이서운게에,artsy,hangul_name_len_ge_4_not_overridden
9,seung yun ray,Seung Yun-Ray,승윤레이,artsy,hangul_name_len_ge_4_not_overridden
9,sookhyeung yoo,Sookhyeung Yoo,유숙혜운그,artsy,hangul_name_len_ge_4_not_overridden
9,vanessa su,Vanessa Su,바네스사수,artsy,hangul_name_len_ge_4_not_overridden
9,yeounwoo yang,yeounwoo yang,양여운우,saatchi,hangul_name_len_ge_4_not_overridden
9,zzozzi,ZZOZZI,즈조즈지,artsy,hangul_name_len_ge_4_not_overridden
9,필립 티미슐,필립 티미슐,필립 티미슐,gallery_primary,hangul_name_len_ge_4_not_overridden
8,amber park,AMBER PARK,박아므베르,artsy,hangul_name_len_ge_4_not_overridden
8,banakido moho,banakido moho,반아기도모호,saatchi,hangul_name_len_ge_4_not_overridden
8,choi yeonjai,Choi Yeonjai,최연자이,artsy,hangul_name_len_ge_4_not_overridden
8,hailey p,hailey p,하일에이프,saatchi,hangul_name_len_ge_4_not_overridden
