rank,gallery_name_raw,gallery_name_normalized,artwork_count,share_in_artsy_pct,matched_by_pr19_rule,candidate_ko_name,note
1,Art Spoon,art spoon,659,9.04,false,아트스푼,
2,Gallery Grimson,gallery grimson,574,7.87,false,갤러리 그림슨,
3,Suppoment Gallery,suppoment gallery,550,7.55,false,써포먼트 갤러리,
4,Keumsan Gallery,keumsan gallery,485,6.65,false,금산갤러리,한국 갤러리 추정
5,The Trinity Gallery,the trinity gallery,465,6.38,false,트리니티 갤러리,
6,MOOWOOSOO Gallery,moowoosoo gallery,365,5.01,false,무우수갤러리,
7,Objecthood,objecthood,271,3.72,false,오브젝트후드,
8,Art in Dongsan,art in dongsan,250,3.43,false,동산방화랑,한국화랑 추정
9,GalleryMEME,gallerymeme,239,3.28,false,갤러리밈,
10,Gallery Playlist,gallery playlist,227,3.11,false,갤러리 플레이리스트,
11,Galerie GAIA,galerie gaia,202,2.77,false,갤러리 가이아,
12,Kuns Gallery,kuns gallery,160,2.20,false,쿤스 갤러리,
13,art.ness,art.ness,138,1.89,false,아트네스,
14,THEO,theo,136,1.87,false,테오,
15,Genuine Global Company,genuine global company,109,1.50,false,,한글명 미상 — 협력자 검수 필요
16,LYNN Fine Art Gallery,lynn fine art gallery,103,1.41,false,린 파인아트,
17,IdeelArt,ideelart,102,1.40,false,아이딜아트,
18,Space776,space776,101,1.39,false,스페이스776,
19,CDA,cda,100,1.37,false,,한글명 미상 — 협력자 검수 필요
20,Dohing Art,dohing art,83,1.14,false,도잉아트,
21,Gallery We,gallery we,72,0.99,false,갤러리 위,
22,Combineworks Seoul,combineworks seoul,71,0.97,false,컴바인웍스 서울,
23,AVO,avo,66,0.91,false,,한글명 미상 — 협력자 검수 필요
24,UARTSPACE,uartspace,64,0.88,false,유아트스페이스,
25,galerie bruno massa,galerie bruno massa,62,0.85,false,브루노 마사,
26,Art Works Paris Seoul Gallery,art works paris seoul gallery,59,0.81,false,아트웍스 파리 서울,
27,ROY Gallery,roy gallery,58,0.80,false,로이 갤러리,
28,SPACE SO,space so,58,0.80,false,,한글명 미상 — 협력자 검수 필요
29,oaoa,oaoa,55,0.75,false,,한글명 미상 — 협력자 검수 필요
30,Gallery Ichon,gallery ichon,53,0.73,false,갤러리 이촌,
