artist_key,n_works,raw_coef,shrunk_coef
08am,15,6.756191695816105,6.746197809022641
120do,10,6.1532053962019155,6.340875647015358
a byeol jang,1,5.928401102018203,6.584913640871572
a jihye,5,8.271692733000751,7.493954440821499
aanggel tim,5,6.383065340964144,6.549640744803196
abang,9,6.370348876998683,6.493872902585671
abin koh 고아빈,17,6.71901315438526,6.7183774712618485
aboudia,3,8.738577819682687,7.474601775282411
adam strandt,5,5.353418671107994,6.03481740987512
adel abdessemed,1,7.308193307671322,6.814879008480426
aedam kim donghyung,18,6.583693698377937,6.612502926696266
aeran jang,18,6.3852935640901345,6.457233256384071
aeri lee,3,7.922985958711196,7.168754827418103
aeri lee 이애리,15,7.927132474673044,7.624403393165345
ahhyeon lee,16,5.545423640349414,5.824183761371517
ahn chang hong,1,8.192066605212432,6.9621912247372775
ahn sung kyu,1,7.288870710637623,6.811658575641476
ahnnlee lee,4,7.096497403579014,6.885230039725254
ahra kim,30,6.043676941198622,6.139753970833425
ahram kwon,1,7.706262975199908,6.881223953068523
ai weiwei,1,11.660045910149725,7.54018777556016
aira choi,20,6.5839978549358245,6.6104415136771095
alex cho,6,6.197679563479,6.4333780112804755
alex jo,2,7.065944378087188,6.816138499912229
alexandra grant,10,8.610768714508488,7.9792511925530745
alice hyeryung yang,1,6.025808786469717,6.601148254946825
alice yaelin yang,6,7.695604995988365,7.250428247194676
ama,3,6.232248603542369,6.534728319229792
amal jarrahi,1,7.000425613823445,6.763584392839113
amber park,8,6.544921458110648,6.610804031392031
amelia an,3,6.051877355609649,6.467089101255022
amin taasha,2,8.557677878341096,7.242348071413346
amonmazdah,10,6.029872250526991,6.258653549898743
an zongde,3,7.375168825268515,6.963323402377097
anna jo,1,5.666121671117221,6.541200402388076
annette hur,6,8.054012215556181,7.445923094231665
april bohm yang,5,6.868534565828856,6.792375357235551
ara nam,1,7.22983877815125,6.8018199202270795
ari kwon,129,6.612359926253267,6.61623515843196
art jeeno,11,6.110846304128062,6.300024380538744
artist aeun,7,6.479408191563205,6.578078173679472
artist kun 쿤 작가,49,7.425405561695226,7.359739875301431
atreyu moniaga,2,7.2276251878438735,6.862333016985568
bac jungwon,36,6.464925864449089,6.4955710210580095
bae jonghun,23,6.257442818421806,6.339366627389742
baek hwa,6,5.960625524887978,6.304075808412645
baek jin ki,17,8.161877866993544,7.833318385550067
