candidate_label,eval_split,n,MdAPE,MAPE,p95_APE,RMSE_log,delta_vs_current_pp258_MdAPE,delta_vs_current_pp258_MAPE,delta_vs_current_pp258_p95_APE,delta_vs_current_pp258_RMSE_log
min1_route_w850_risk_q50_altlower_gap005,test,607,0.10432612122375012,0.23581406986446796,0.7394162014152162,0.37718983924009925,-0.03665027940277771,-0.0340741259146779,-0.0679085058762301,-0.020263990311171154
min1_route_w850_risk_q50_altlower_gap010,test,607,0.1056244418332164,0.2359803673829196,0.7394162014152162,0.3771802691269085,-0.03535195879331143,-0.03390782839622625,-0.0679085058762301,-0.020273560424361903
min1_route_w850_risk_q70_altlower_gap005,test,607,0.10432612122375012,0.23600655869871803,0.7394162014152162,0.3760877893305673,-0.03665027940277771,-0.03388163708042782,-0.0679085058762301,-0.021366040220703097
min1_route_w850_risk_q60_altlower_gap005,test,607,0.10432612122375012,0.23601517532289612,0.7394162014152162,0.3762018506689514,-0.03665027940277771,-0.033873020456249736,-0.0679085058762301,-0.021251978882319
min1_route_w850_risk_q70_altlower_gap010,test,607,0.1056244418332164,0.2361223209547831,0.7394162014152162,0.376080439816931,-0.03535195879331143,-0.033765874824362746,-0.0679085058762301,-0.021373389734339387
min1_route_w850_risk_q60_altlower_gap010,test,607,0.1056244418332164,0.2361246303733806,0.7394162014152162,0.37615502733494094,-0.03535195879331143,-0.03376356540576525,-0.0679085058762301,-0.02129880221632946
min1_route_w850_risk_q80_altlower_gap005,test,607,0.10432612122375012,0.23613024750835102,0.7394162014152162,0.37582675112939223,-0.03665027940277771,-0.03375794827079484,-0.0679085058762301,-0.021627078421878165
min1_route_w850_risk_q80_altlower_gap010,test,607,0.1056244418332164,0.23623631797674627,0.7394162014152162,0.3758024032307414,-0.03535195879331143,-0.03365187780239959,-0.0679085058762301,-0.02165142632052902
min1_route_w850_risk_q80_altlower_gap020,test,607,0.10654696791845651,0.23635801717110047,0.7394162014152162,0.3757785648910174,-0.03442943270807132,-0.033530178608045386,-0.0679085058762301,-0.02167526466025299
min1_route_w850_risk_q50_altlower_gap020,test,607,0.10654696791845651,0.2363805377819899,0.7394162014152162,0.37713074637050775,-0.03442943270807132,-0.033507657997155965,-0.0679085058762301,-0.020323083180762647
min1_route_w850_risk_q70_altlower_gap020,test,607,0.10654696791845651,0.2364195473209937,0.7394162014152162,0.37603946919401177,-0.03442943270807132,-0.033468648458152145,-0.0679085058762301,-0.021414360357258633
min1_route_w850_risk_q60_altlower_gap020,test,607,0.10654696791845651,0.23650874631287172,0.7394162014152162,0.3761224872914837,-0.03442943270807132,-0.033379449466274136,-0.0679085058762301,-0.021331342259786723
min1_route_w625_risk_q60_altlower_gap020,test,607,0.10705866019596119,0.23681780907838618,0.7791959634055454,0.37517112876164366,-0.03391774043056664,-0.03307038670075968,-0.02812874388590092,-0.02228270078962674
min1_route_w625_risk_q60_altlower_gap005,test,607,0.10792057110835995,0.23682380907755476,0.7791959634055454,0.37532202169558676,-0.03305582951816788,-0.03306438670159109,-0.02812874388590092,-0.02213180785568364
min1_route_w625_risk_q60_altlower_gap010,test,607,0.10705866019596119,0.23682500227755862,0.7791959634055454,0.3752266105825054,-0.03391774043056664,-0.033063193501587235,-0.02812874388590092,-0.022227218968765006
min1_route_w800_risk_q50_altlower_gap005,test,607,0.10432612122375012,0.23683109731890417,0.7394162014152162,0.377016335176641,-0.03665027940277771,-0.033057098460241685,-0.0679085058762301,-0.020437494374629384
min1_route_w625_risk_q50_altlower_gap020,test,607,0.10705866019596119,0.23695783300978598,0.7791959634055454,0.3752716453113138,-0.03391774043056664,-0.03293036276935987,-0.02812874388590092,-0.022182184239956604
min1_route_w800_risk_q60_altlower_gap005,test,607,0.10432612122375012,0.23696623004691034,0.7394162014152162,0.376223450482883,-0.03665027940277771,-0.03292196573223552,-0.0679085058762301,-0.021230379068387373
min1_route_w800_risk_q70_altlower_gap005,test,607,0.10432612122375012,0.23696892455837243,0.7394162014152162,0.3761514359971161,-0.03665027940277771,-0.03291927122077343,-0.0679085058762301,-0.02130239355415431
min1_route_w625_risk_q50_altlower_gap005,test,607,0.10792057110835995,0.23700094881172556,0.7791959634055454,0.37542410899243134,-0.03305582951816788,-0.03288724696742029,-0.02812874388590092,-0.02202972055883906
min1_route_w800_risk_q50_altlower_gap010,test,607,0.1056244418332164,0.23701238491019652,0.7394162014152162,0.3770102963858079,-0.03535195879331143,-0.032875810868949334,-0.0679085058762301,-0.02044353316546249
min1_route_w625_risk_q50_altlower_gap010,test,607,0.10705866019596119,0.23702381287639968,0.7791959634055454,0.3753367524287146,-0.03391774043056664,-0.03286438290274618,-0.02812874388590092,-0.022117077122555784
min1_route_w800_risk_q80_altlower_gap005,test,607,0.10432612122375012,0.2370710442295734,0.7394162014152162,0.37599044614885047,-0.03665027940277771,-0.03281715154957246,-0.0679085058762301,-0.021463383402419933
min1_route_w800_risk_q70_altlower_gap010,test,607,0.1056244418332164,0.23713441802031263,0.7394162014152162,0.37618819594509334,-0.03535195879331143,-0.03275377775883323,-0.0679085058762301,-0.02126563360617706
min1_route_w800_risk_q60_altlower_gap010,test,607,0.1056244418332164,0.2371368125680942,0.7394162014152162,0.37622961922549275,-0.03535195879331143,-0.03275138321105164,-0.0679085058762301,-0.021224210325777648
min1_route_w800_risk_q50_altlower_gap020,test,607,0.1056244418332164,0.23717238888262612,0.7394162014152162,0.3769836902433563,-0.03535195879331143,-0.032715806896519734,-0.0679085058762301,-0.02047013930791408
min1_route_w800_risk_q80_altlower_gap010,test,607,0.1056244418332164,0.23720903547912683,0.7394162014152162,0.376007239133755,-0.03535195879331143,-0.03267916030001902,-0.0679085058762301,-0.0214465904175154
