,,,,,,,,,,,,,
,idx,재료(지지체),도구(매체),건수,,idx,수집 재료,건수,난트 기준 재료(지지체),난트 기준 도구(매체),비고,비고2,비고3
,1,캔버스,유화,13977,,1,캔버스에 유채,9637,캔버스,유채,,,
,2,캔버스,아크릴,6084,,2,종이에 수묵담채,6559,종이,수묵,,,
,3,캔버스,수채,206,,3,종이에 먹,3820,종이,수묵,,,
,4,캔버스,수묵,100,,4,캔버스에 아크릴,3132,캔버스,아크릴릭,,,
,5,캔버스,채색,92,,5,oil on canvas,2535,캔버스,유채,,,
,6,캔버스,연필/드로잉,102,,6,석판화,2215,종이,석판,,,
,7,캔버스,판화,6,,7,종이에 수묵,1986,종이,수묵,,,
,8,캔버스,실크스크린,66,,8,지본채색,1965,종이,채색,,,
,9,캔버스,인쇄/복제,42,,9,acrylic on canvas,1444,캔버스,아크릴릭,,,
,10,캔버스,사진/디지털,53,,10,캔버스에 혼합재료,1301,캔버스,혼합재료,,,
,11,캔버스,혼합재료,2489,,11,지본묵서,1215,종이,수묵,,,
,12,캔버스,조각,9,,12,오프셋 석판화,1073,종이,석판,,,
,13,캔버스,도자,10,,13,실크스크린,1001,종이,실크스크린,,,
,14,캔버스,옻칠/래커,3,,14,종이에 수묵채색,868,종이,수묵,,,
,15,캔버스,섬유,13,,15,ink and color on paper,847,종이,수묵,,,
,16,캔버스,기타,294,,16,비단에 수묵담채,771,비단,수묵,,,
,17,종이,유화,1062,,17,lithograph,709,종이,석판,,,
,18,종이,아크릴,857,,18,오프셋 프린트,689,종이,오프셋 프린트,,,
,19,종이,수채,1278,,19,mixed media on canvas,610,캔버스,혼합재료,,,
,20,종이,수묵,17816,,20,종이에 수채,567,종이,수채,,,
,21,종이,채색,3366,,21,스크린프린트,564,종이,실크스크린,,,
,22,종이,연필/드로잉,1381,,22,ink on paper,549,종이,수묵,,,
,23,종이,판화,6896,,23,브론즈,546,없음,조각,,,
,24,종이,실크스크린,3024,,24,종이에 채색,525,종이,채색,,,
