artist_key,artist_name_ko,reason
myunggyun you,유명균,obvious_bad_romanization
sang wooc rhee,이상욱,obvious_bad_romanization
hyungjun suh,서형준,obvious_bad_romanization
seung yean cho,조승연,obvious_bad_romanization
choonjae kim,김춘재,obvious_bad_romanization
jihyeon choi,최지현,obvious_bad_romanization
kim deasung,김대성,obvious_bad_romanization
kwon neung,권능,obvious_bad_romanization
kim deok han,김덕한,obvious_bad_romanization
hyegyun kim,김혜균,obvious_bad_romanization
deokhwan yoon,윤덕환,obvious_bad_romanization
gwanhee lee,이관희,obvious_bad_romanization
sungone jung,정성원,obvious_bad_romanization
choongmok yoo,유충목,obvious_bad_romanization
kwang bum jang,장광범,obvious_bad_romanization
keem jiyoung,김지영,obvious_bad_romanization
soon yeal yang,양순열,obvious_bad_romanization
jihyung nam,남지형,obvious_bad_romanization
bomyee kim,김봄이,obvious_bad_romanization
sangik seo,서상익,obvious_bad_romanization
aedam kim donghyung,애담 김동형,track3_manual_override
seo hyun sohn,손서현,obvious_bad_romanization
cheong hyeong yeol,정형열,obvious_bad_romanization
yoon sang yuel,윤상열,obvious_bad_romanization
jungwon phee,피정원,obvious_bad_romanization
sook ja rho,노숙자,obvious_bad_romanization
gyunghwa roh,노경화,obvious_bad_romanization
jungkee son,손정기,obvious_bad_romanization
sukhyung kang,강석형,obvious_bad_romanization
bahk younghoon,박영훈,obvious_bad_romanization
woongjoo seo,서웅주,obvious_bad_romanization
seim shon,손세임,obvious_bad_romanization
kim sookang,김수강,obvious_bad_romanization
kee tae kim,김기태,obvious_bad_romanization
bae hyung kyung,배형경,obvious_bad_romanization
sangdeok ra,라상덕,obvious_bad_romanization
ingee chung,정인지,obvious_bad_romanization
eunphil cho,조은필,obvious_bad_romanization
jeayeon hong,홍재연,obvious_bad_romanization
siwol park,박시월,obvious_bad_romanization
hoh woo jung,정호우,obvious_bad_romanization
jeehui hong,홍지희,obvious_bad_romanization
eunbyeol choi,최은별,obvious_bad_romanization
byeolhee jeon,전별희,obvious_bad_romanization
sanggyun lee,이상균,obvious_bad_romanization
choong yeul yoo,유충열,obvious_bad_romanization
youn miock,윤미옥,obvious_bad_romanization
hwallam moon,문화람,obvious_bad_romanization
jaebum joo,주재범,obvious_bad_romanization
seol min yi,이설민,obvious_bad_romanization
um hyo yong,엄효용,obvious_bad_romanization
